"","X1","new_col"
"1","аборигенний",0
"2","аборт",-1
"3","абсолютний",0
"4","абстрактний",0
"5","абсурд",-1
"6","абсурдний",-1
"7","абсурдно",-1
"8","абхаз",0
"9","авантюра",0
"10","авантюрний",0
"11","аварійний",-1
"12","аварія",-1
"13","авіаносець",0
"14","авіаудар",-2
"15","авіаційний",0
"16","авіація",0
"17","австралієць",0
"18","австралійський",0
"19","австрієць",0
"20","австрійський",0
"21","автентичний",1
"22","авто",0
"23","автобіографічний",0
"24","автовласник",0
"25","автолюбитель",0
"26","автомат",-1
"27","автоматичний",0
"28","автоматний",-2
"29","автоматник",0
"30","автомобіліст",0
"31","автомобільний",0
"32","автономний",0
"33","автор",0
"34","автореферат",0
"35","авторитет",0
"36","авторитетний",1
"37","автотранспорт",0
"38","автошкола",0
"39","автошлях",0
"40","ага",0
"41","агент",0
"42","агентство",0
"43","агітаційний",0
"44","агітка",-1
"45","агонія",-1
"46","аграрний",0
"47","агресивний",-1
"48","агресія",-1
"49","адаптований",1
"50","адвокат",0
"51","адвокатський",0
"52","адекватний",1
"53","адекватно",1
"54","адміністративний",0
"55","адміністрація",0
"56","адміралтейський",0
"57","адресний",0
"58","аеропорт",0
"59","ажіотажний",0
"60","ажурний",1
"61","азербайджанець",0
"62","азербайджанський",0
"63","азіат",0
"64","азіатський",0
"65","азовський",0
"66","академія",0
"67","акаунт",0
"68","акбар",0
"69","акваторія",0
"70","акт",0
"71","активізація",0
"72","активізувати",0
"73","активізуватися",0
"74","активність",0
"75","акторський",1
"76","актуальний",0
"77","актуально",0
"78","акуратненький",0
"79","акуратний",1
"80","акцент",0
"81","акціонер",0
"82","акція",0
"83","алгебра",0
"84","алгоритм",0
"85","алергічний",0
"86","алжирський",0
"87","алібі",0
"88","аліменти",0
"89","алкаш",-2
"90","алкоголізм",-1
"91","алогічний",-1
"92","альтернатива",0
"93","альтернативний",0
"94","альтруїстичний",1
"95","алюмінієвий",0
"96","алюміній",0
"97","аматорський",0
"98","амбівалентний",0
"99","амбітний",1
"100","амбіція",1
"101","американець",0
"102","американо",0
"103","американський",0
"104","амністія",1
"105","амністувати",0
"106","аморальний",-1
"107","аморальний",-1
"108","аморфний",-1
"109","аналіз",0
"110","аналізувати",0
"111","аналогічний",0
"112","анархіст",0
"113","ангельський",1
"114","англійська",0
"115","англомовний",0
"116","анекдот",0
"117","анестезіолог",0
"118","анітрохи",0
"119","анкета",0
"120","анкетування",0
"121","аномальний",-1
"122","анонімний",0
"123","анонімність",0
"124","анонс",0
"125","анонсувати",0
"126","анти",-1
"127","антиалкогольний",0
"128","антиамериканський",-1
"129","антибіотик",0
"130","антивоєнний",0
"131","антигітлерівський",0
"132","антиглобаліст",0
"133","антигромадський",-1
"134","антигуманний",-1
"135","антидержавний",-1
"136","антиконституційний",-1
"137","антинаркотичний",1
"138","антинародний",-1
"139","антинауковий",-1
"140","антирадянський",-1
"141","антирадянщина",0
"142","антисанітарний",-1
"143","антисеміт",-1
"144","антисемітський",-1
"145","антисоціальний",-1
"146","антитерористичний",1
"147","антиурядовий",0
"148","антиутопія",-1
"149","антифашист",0
"150","антифашистський",0
"151","антихристиянський",-1
"152","апарат",0
"153","апатичний",-2
"154","апеляційний",0
"155","апеляція",0
"156","апетитний",1
"157","аплодисменти",1
"158","апокаліптичний",-1
"159","апологетичний",0
"160","аптека",0
"161","араб",0
"162","арабська",0
"163","аравійський",0
"164","арбатський",0
"165","арбітражний",0
"166","аргентинець",0
"167","аргентинський",0
"168","аргумент",0
"169","арешт",-1
"170","арештант",0
"171","аристократичний",0
"172","арифметичний",0
"173","арійський",0
"174","арктичний",0
"175","арматура",-2
"176","армійський",0
"177","армія",0
"178","аромат",1
"179","артерія",0
"180","артилерист",-1
"181","артилерійський",0
"182","артилерія",0
"183","артистичний",1
"184","архангельський",0
"185","асамблея",0
"186","асортимент",0
"187","асортиментний",0
"188","асоціальний",-1
"189","асоціація",0
"190","аспірантура",0
"191","астраханський",0
"192","астрономічний",0
"193","атака",0
"194","атакувати",-1
"195","атестат",0
"196","атестація",0
"197","атмосфера",0
"198","атмосферний",0
"199","атомний",0
"200","афганець",0
"201","афганський",-1
"202","афера",0
"203","афінський",0
"204","ахінея",-1
"205","баварський",0
"206","багатий",1
"207","багато",0
"208","багатовимірний",1
"209","багатогранний",1
"210","багатодітний",1
"211","багатозначний",0
"212","багатоликий",0
"213","багатомільйонний",-1
"214","багатомільярдний",0
"215","багатонаціональний",0
"216","багатообіцяючий",1
"217","багатоплановий",0
"218","багаторічний",0
"219","багатостраждальний",0
"220","багатотисячний",0
"221","багатофункціональність",1
"222","багатоцільовий",0
"223","багатошаровий",0
"224","багатство",0
"225","багно",-2
"226","бадьорий",1
"227","бажаний",1
"228","бажаний",1
"229","бажання",0
"230","бажано",0
"231","базар",0
"232","базування",0
"233","базуватися",0
"234","байдуже",-1
"235","байдужий",-1
"236","байдужий",-1
"237","байдужий",-1
"238","байдужість",-1
"239","бакалавр",0
"240","бакинський",0
"241","бактерія",0
"242","балаканина",-1
"243","балакучий",-1
"244","балалайка",-1
"245","балістичний",0
"246","балканський",0
"247","балотуватися",0
"248","балтійський",0
"249","балувати",1
"250","бамбуковий",0
"251","банальний",0
"252","банальність",-1
"253","банально",-1
"254","банда",-1
"255","бандит",-1
"256","бандитський",-1
"257","бандформування",-1
"258","бандюга",-2
"259","бандюк",-2
"260","банківський",0
"261","банковий",0
"262","банкрут",-1
"263","банкрутство",-1
"264","барак",0
"265","барвистий",1
"266","барвистий",1
"267","барикада",0
"268","бароко",1
"269","бароковий",1
"270","басейн",0
"271","батальйон",0
"272","батарея",0
"273","батьківський",1
"274","бачення",0
"275","бачитися",0
"276","башкирський",0
"277","безальтернативний",-1
"278","безбожний",-1
"279","безболісний",0
"280","безвинний",-2
"281","безвихідний",-1
"282","безвихідний",-1
"283","безвихідь",-1
"284","безвідмовний",0
"285","безвідповідальний",-1
"286","безвідповідальність",-2
"287","безвісний",0
"288","безвольний",-1
"289","безглуздий",-1
"290","безглуздість",-1
"291","безглуздо",-1
"292","безгрішний",1
"293","безгрошовий",-1
"294","бездарний",-1
"295","бездарність",-2
"296","бездіяльність",-1
"297","бездіяти",-1
"298","бездоганний",1
"299","бездоганний",1
"300","бездоганно",2
"301","бездумний",-1
"302","бездумно",-1
"303","безжалісний",-1
"304","безжальний",-2
"305","безжально",-2
"306","безжиттєвий",0
"307","безжурний",2
"308","беззавітний",1
"309","беззаконний",-1
"310","беззаконня",-1
"311","беззаперечний",0
"312","беззахисний",-1
"313","беззбройний",0
"314","беззвучний",0
"315","беззмістовний",-1
"316","беззубий",-1
"317","безідейний",-1
"318","безініціативний",-1
"319","безкарний",-2
"320","безкарність",-1
"321","безкомпромісний",-1
"322","безконтрольний",-1
"323","безкорисливий",1
"324","безкоштовний",0
"325","безкровний",0
"326","безлад",-1
"327","безладний",-1
"328","безладний",-1
"329","безликий",0
"330","безлімітний",0
"331","безлюдний",0
"332","безлюдний",0
"333","безмежний",1
"334","безмежний",1
"335","безмежний",1
"336","безмірний",0
"337","безнадійний",-1
"338","безнадія",-1
"339","безневинний",0
"340","безодня",-1
"341","безоплатний",0
"342","безпека",1
"343","безперебійний",1
"344","безперервний",-1
"345","безперервний",-1
"346","безперервний",-1
"347","безперечний",1
"348","безперспективний",-1
"349","безпечний",1
"350","безпечно",2
"351","безпідставний",-1
"352","безпілотний",0
"353","безповоротний",-1
"354","безпокійний",-1
"355","безпомилковий",0
"356","безпомилково",0
"357","безпомічний",-2
"358","безпорадний",-2
"359","безпосередній",0
"360","безправний",-1
"361","безпрецедентний",0
"362","безпринципний",0
"363","безпритульний",-1
"364","безпрограшний",1
"365","безпросвітний",-2
"366","безпутний",-1
"367","безрадісний",-1
"368","безрезультатний",-1
"369","безробіття",-1
"370","безрозсудний",-1
"371","безсердечний",-1
"372","безславний",-2
"373","безсмачний",-1
"374","безсмертний",2
"375","безсовісний",-1
"376","безсоромний",-1
"377","безстрашний",1
"378","безсумнівний",1
"379","безтактовний",-1
"380","безталанний",-1
"381","безтолковий",-2
"382","безтурботний",1
"383","безтурботний",1
"384","безтурботний",1
"385","безумний",-2
"386","безумовний",1
"387","безумство",-1
"388","безуспішний",-1
"389","безхитрісний",0
"390","безхмарний",1
"391","безхребетний",-1
"392","безхребетний",-1
"393","безцеремонний",-1
"394","безцільний",-1
"395","безцінний",2
"396","безчесний",-1
"397","безчуттєвий",-1
"398","безшумний",0
"399","бентежити",-1
"400","берлінський",0
"401","бидло",-2
"402","билина",0
"403","битва",-1
"404","бити",-1
"405","битися",-1
"406","битися",-1
"407","біблійний",0
"408","бібліотека",0
"409","бігти",0
"410","біда",-1
"411","бідненький",0
"412","бідний",-1
"413","бідність",-1
"414","бідно",-1
"415","бідолашний",-2
"416","біженець",-1
"417","бізнес",0
"418","бізнесмен",0
"419","бій",0
"420","бійка",-1
"421","бійня",-2
"422","білгородський",0
"423","білогвардієць",0
"424","білогвардійський",0
"425","білоруський",0
"426","білосніжний",2
"427","більший",0
"428","більшовизм",0
"429","більшовик",0
"430","біографічний",0
"431","біолог",0
"432","біологія",0
"433","біс",-2
"434","бісексуал",-1
"435","благати",0
"436","благий",1
"437","благовихований",1
"438","благоговійний",1
"439","благодать",1
"440","благодійний",1
"441","благодійник",1
"442","благодійність",1
"443","благозвучний",1
"444","благополучний",2
"445","благополучно",1
"446","благополуччя",2
"447","благородний",1
"448","благородство",2
"449","благорозумний",1
"450","благословенний",1
"451","благословити",2
"452","благословляти",1
"453","благосний",1
"454","благотворний",2
"455","благоустрій",1
"456","благочестивий",1
"457","блаженний",1
"458","блаженство",1
"459","блакитний",1
"460","блакитний",1
"461","блакить",1
"462","блатний",-2
"463","ближній",1
"464","близький",1
"465","близькосхідний",0
"466","блиск",2
"467","блискавичний",0
"468","блискучий",2
"469","блищати",1
"470","блищати",1
"471","бліднути",-1
"472","блокада",-1
"473","блокадний",-1
"474","блокпост",0
"475","блокування",0
"476","блокування",0
"477","блокувати",0
"478","блокуватися",-1
"479","блукати",-2
"480","блювати",-1
"481","блювотиння",-2
"482","блюзнірство",-2
"483","блядство",-2
"484","бляклий",-1
"485","бовтатися",0
"486","богатирський",1
"487","богиня",1
"488","богобоязливий",-1
"489","боговгодно",1
"490","богомерзенний",-2
"491","богословський",1
"492","богослужбовий",0
"493","боєголовка",0
"494","боєприпас",0
"495","божевілля",-1
"496","божественний",1
"497","божество",1
"498","божеський",1
"499","божий",0
"500","бойової",0
"501","болгарська",0
"502","болівійський",0
"503","болісний",-2
"504","болісно",-1
"505","боліти",-2
"506","болотний",0
"507","болючий",-2
"508","бомба",-1
"509","бомбардувальник",-1
"510","бомбардування",-1
"511","бомбити",-1
"512","бомбування",-1
"513","бонус",0
"514","борг",-1
"515","борговий",-1
"516","борець",1
"517","боротися",0
"518","боротьба",0
"519","боснійський",0
"520","бостонський",0
"521","боягуз",-2
"522","боягузливий",-2
"523","боягузливість",-2
"524","боягузтво",-1
"525","боязкуватий",-1
"526","боязнь",-1
"527","боятися",-2
"528","бразильський",0
"529","брак",-2
"530","браконьєр",-2
"531","бракувати",-1
"532","бранка",-2
"533","братовбивчий",-1
"534","братський",1
"535","браття",1
"536","брежнєвський",0
"537","брестський",0
"538","брехати",-2
"539","брехати",-1
"540","брехливий",-2
"541","брехня",-1
"542","бригада",0
"543","бризки",0
"544","британський",0
"545","брифінг",0
"546","бродяга",-1
"547","бронебійний",0
"548","бронетехніка",0
"549","броньований",1
"550","бруд",-1
"551","брудний",-2
"552","бруднити",-1
"553","брутальний",-2
"554","брязкати",-2
"555","брянський",0
"556","бувалий",1
"557","буддизм",0
"558","буденний",0
"559","будівельний",0
"560","будівля",0
"561","будівництво",0
"562","будуватися",0
"563","буйний",-1
"564","буквальний",0
"565","букет",1
"566","бульвар",0
"567","бульварний",0
"568","бульдозер",0
"569","булька",-2
"570","бунт",-2
"571","бунтівник",-1
"572","бунтувати",-1
"573","бур'ян",0
"574","буревій",0
"575","буржуазія",-1
"576","буржуазний",0
"577","буржуй",-1
"578","буркотливий",-1
"579","бурштиновий",0
"580","бутність",0
"581","буття",0
"582","бухати",-2
"583","бухгалтерський",0
"584","бюлетень",0
"585","бюргер",0
"586","бюро",0
"587","бюрократ",-1
"588","бюрократизм",-2
"589","бюрократичний",0
"590","бюрократія",-1
"591","в'єтнамський",0
"592","в'їзд",0
"593","в'язаний",1
"594","в'язень",-1
"595","в'язниця",-1
"596","в'ялий",-1
"597","в`ятський",0
"598","вага",0
"599","важити",0
"600","важкий",1
"601","важкий",-1
"602","важкий",-1
"603","важковиліковний",-2
"604","важкодоступний",0
"605","важкувато",-1
"606","важкувато",-1
"607","важливий",0
"608","важливість",0
"609","важливо",0
"610","вакантний",0
"611","вакцинація",0
"612","валити",-2
"613","валитися",-1
"614","валюта",0
"615","валютний",0
"616","вандал",-2
"617","вандалізм",-2
"618","вантажиться",0
"619","вантажівка",0
"620","варварський",-1
"621","варіант",0
"622","варіюватися",0
"623","вартість",0
"624","варшавський",0
"625","ватиканський",0
"626","ваучер",0
"627","вахта",0
"628","ваххабіт",-1
"629","вашингтонський",0
"630","вбивати",-2
"631","вбивство",-1
"632","вбивця",-2
"633","вбивчий",-1
"634","вбитий",-2
"635","вбогий",-2
"636","вважати",-1
"637","введення",0
"638","ввічливий",1
"639","ввічливий",1
"640","ввічливість",1
"641","вводитися",0
"642","вгадувати",1
"643","вгамовуватися",-2
"644","вдаватися",0
"645","вдаватися",0
"646","вдалий",1
"647","вдало",1
"648","вдаритися",-2
"649","вдача",0
"650","вдержатися",-2
"651","вдосконалення",1
"652","вдосконалюватися",1
"653","вдосталь",0
"654","вдумливий",0
"655","вдячний",1
"656","вдячність",2
"657","везучий",1
"658","велелюбний",1
"659","великий",0
"660","великодержавний",0
"661","великомасштабний",2
"662","великорос",-1
"663","великоруський",1
"664","великосвітський",-1
"665","величезний",1
"666","величезний",1
"667","величина",0
"668","величний",2
"669","вельмишановний",1
"670","вельмишановний",1
"671","венеричний",-1
"672","венесуелець",0
"673","венесуельський",0
"674","вербувати",0
"675","вердикт",0
"676","вересень",0
"677","верескливий",-1
"678","верещати",-1
"679","верзтися",-2
"680","вермахт",0
"681","вертикаль",0
"682","верхівка",0
"683","верховний",1
"684","вершина",0
"685","веселий",1
"686","веселитися",1
"687","весьєгонський",0
"688","ветеран",0
"689","ветхий",-1
"690","вечір",1
"691","вечірка",1
"692","вживання",0
"693","вживати",0
"694","взаємний",1
"695","взаємність",0
"696","взаємовигідний",1
"697","взаємовідношення",0
"698","взаємодія",0
"699","взаємодіяти",0
"700","взаємопов'язаний",0
"701","взаємоприйнятний",1
"702","взвод",0
"703","вибачатися",0
"704","вибачення",1
"705","вибірка",0
"706","виборець",0
"707","виборний",0
"708","виборчий",0
"709","вибух",-1
"710","вибухати",-1
"711","вибухівка",-2
"712","вибухонебезпечний",0
"713","виверт",-1
"714","вивчати",0
"715","вивчення",1
"716","вигаданий",0
"717","вигадливий",1
"718","вигадливий",-1
"719","вигадувати",-1
"720","вигідний",1
"721","вигідніший",1
"722","вигідно",1
"723","виглядати",0
"724","вигнавши",-2
"725","вигнанець",-1
"726","вигнання",-2
"727","вигнати",-2
"728","вигода",1
"729","виготовлятися",0
"730","вигравати",0
"731","виграш",1
"732","вигрібати",-1
"733","вигукувати",0
"734","видаватися",0
"735","видавлювати",-2
"736","видавництво",0
"737","видалений",-2
"738","видалення",0
"739","видаляти",-1
"740","видання",0
"741","видача",0
"742","видворяти",-1
"743","видимість",0
"744","виділятися",0
"745","видобуватися",0
"746","видовище",0
"747","видовищний",1
"748","виживання",0
"749","вижити",-2
"750","визвольний",1
"751","визнаватися",0
"752","визнання",0
"753","визначати",0
"754","визначатися",0
"755","визначний",1
"756","виїдати",-2
